Date,GOOG_Adjusted_Close,GOOG_Cumulative_Return,GOOG_Value,CELG_Adjusted_Close,CELG_Cumulative_Return,CELG_Value,NVDA_Adjusted_Close,NVDA_Cumulative_Return,NVDA_Value,FB_Adjusted_Close,FB_Cumulative_Return,FB_Value,SPY_Adjusted_Close,SPY_Cumulative_Return,SPY_Value,Portfolio_Cumulative_Return,Portfolio_Value
2017-07-25,950.70,1.22377266,0.00000,136.44,1.31154479,2.57635,165.35,2.45545018,1.20585,165.28,1.28382781,0.00000,247.42,1.14663083,1.14663,1.22377266,1.22377266
2017-07-26,947.80,1.22003965,0.00000,137.75,1.32413728,2.63113,167.26,2.48381354,1.23387,165.61,1.28639113,0.00000,247.43,1.14667714,1.14668,1.22003965,1.22003965
2017-07-27,934.09,1.20239174,0.00000,134.15,1.28953182,2.47780,161.74,2.40184161,1.15377,170.44,1.32390862,0.00000,247.20,1.14561126,1.14561,1.20239174,1.20239174
2017-07-28,941.53,1.21196876,0.00000,134.10,1.28905131,2.51746,164.39,2.44119406,1.19189,172.45,1.33952144,0.00000,246.91,1.14426733,1.14427,1.21196876,1.21196876
2017-07-31,930.50,1.19777053,0.00000,135.41,1.30164381,2.51298,162.51,2.41327596,1.16478,169.25,1.31466516,0.00000,246.77,1.14361853,1.14362,1.19777053,1.19777053
2017-08-01,930.83,1.19819534,0.00000,135.18,1.29943280,2.53928,164.49,2.44267916,1.19334,169.86,1.31940340,0.00000,247.32,1.14616743,1.14617,1.19819534,1.19819534
2017-08-02,930.39,1.19762896,0.00000,134.85,1.29626077,2.53154,164.39,2.44119406,1.19189,169.30,1.31505356,0.00000,247.44,1.14672353,1.14672,1.19762896,1.19762896
2017-08-03,923.65,1.18895302,0.00000,135.90,1.30635389,2.58369,166.48,2.47223054,1.22238,168.59,1.30953852,0.00000,246.96,1.14449906,1.14450,1.18895302,1.18895302
2017-08-04,927.96,1.19450099,0.00000,136.70,1.31404401,2.61029,167.21,2.48307122,1.23313,169.62,1.31753913,0.00000,247.41,1.14658451,1.14658,1.19450099,1.19450099
2017-08-07,929.36,1.19630307,0.00000,137.06,1.31750456,2.69762,172.35,2.55940029,1.31011,171.98,1.33587066,0.00000,247.87,1.14871627,1.14872,1.19630307,1.19630307
2017-08-08,926.79,1.19299487,0.00000,135.27,1.30029805,2.63072,170.30,2.52895771,1.27913,171.23,1.33004496,0.00000,247.26,1.14588931,1.14589,1.19299487,1.19299487
2017-08-09,922.90,1.18798759,0.00000,135.57,1.30318186,2.66458,172.11,2.55583620,1.30646,171.18,1.32965656,0.00000,247.25,1.14584299,1.14584,1.18798759,1.18798759
2017-08-10,907.24,1.16782948,0.00000,130.37,1.25319616,2.45265,164.74,2.44639166,1.19697,167.40,1.30029507,0.00000,243.76,1.12966909,1.12967,1.16782948,1.16782948
2017-08-11,914.39,1.17703323,0.00000,130.61,1.25550324,2.32620,155.96,2.31600854,1.07278,168.08,1.30557709,0.00000,244.12,1.13133746,1.13134,1.17703323,1.17703323
